,acwi_monthly_return,usd_pln,edo_reference_monthly_return,cpi_prev_year_100,avg_gross_wage_pln
1950-01,,,,107.5,0.0551
1950-02,,,,107.5,0.0551
1950-03,,,,107.5,0.0551
1950-04,,,,107.5,0.0551
1950-05,,,,107.5,0.0551
1950-06,,,,107.5,0.0551
1950-07,,,,107.5,0.0551
1950-08,,,,107.5,0.0551
1950-09,,,,107.5,0.0551
1950-10,,,,107.5,0.0551
1950-11,,,,107.5,0.0551
1950-12,,,,107.5,0.0551
1951-01,,,,109.6,0.0599
1951-02,,,,109.6,0.0599
1951-03,,,,109.6,0.0599
1951-04,,,,109.6,0.0599
1951-05,,,,109.6,0.0599
1951-06,,,,109.6,0.0599
1951-07,,,,109.6,0.0599
1951-08,,,,109.6,0.0599
1951-09,,,,109.6,0.0599
1951-10,,,,109.6,0.0599
1951-11,,,,109.6,0.0599
1951-12,,,,109.6,0.0599
1952-01,,,,114.4,0.0652
1952-02,,,,114.4,0.0652
1952-03,,,,114.4,0.0652
1952-04,,,,114.4,0.0652
1952-05,,,,114.4,0.0652
1952-06,,,,114.4,0.0652
1952-07,,,,114.4,0.0652
1952-08,,,,114.4,0.0652
1952-09,,,,114.4,0.0652
1952-10,,,,114.4,0.0652
1952-11,,,,114.4,0.0652
1952-12,,,,114.4,0.0652
1953-01,,,,141.9,0.092
1953-02,,,,141.9,0.092
1953-03,,,,141.9,0.092
1953-04,,,,141.9,0.092
1953-05,,,,141.9,0.092
1953-06,,,,141.9,0.092
1953-07,,,,141.9,0.092
1953-08,,,,141.9,0.092
1953-09,,,,141.9,0.092
1953-10,,,,141.9,0.092
1953-11,,,,141.9,0.092
1953-12,,,,141.9,0.092
1954-01,,,,93.7,0.0975
1954-02,,,,93.7,0.0975
1954-03,,,,93.7,0.0975
1954-04,,,,93.7,0.0975
1954-05,,,,93.7,0.0975
1954-06,,,,93.7,0.0975
1954-07,,,,93.7,0.0975
1954-08,,,,93.7,0.0975
1954-09,,,,93.7,0.0975
1954-10,,,,93.7,0.0975
1954-11,,,,93.7,0.0975
1954-12,,,,93.7,0.0975
1955-01,,,,97.6,0.1008
1955-02,,,,97.6,0.1008
1955-03,,,,97.6,0.1008
1955-04,,,,97.6,0.1008
1955-05,,,,97.6,0.1008
1955-06,,,,97.6,0.1008
1955-07,,,,97.6,0.1008
1955-08,,,,97.6,0.1008
1955-09,,,,97.6,0.1008
1955-10,,,,97.6,0.1008
1955-11,,,,97.6,0.1008
1955-12,,,,97.6,0.1008
1956-01,,,,99.0,0.1118
1956-02,,,,99.0,0.1118
1956-03,,,,99.0,0.1118
1956-04,,,,99.0,0.1118
1956-05,,,,99.0,0.1118
1956-06,,,,99.0,0.1118
1956-07,,,,99.0,0.1118
1956-08,,,,99.0,0.1118
1956-09,,,,99.0,0.1118
1956-10,,,,99.0,0.1118
1956-11,,,,99.0,0.1118
1956-12,,,,99.0,0.1118
1957-01,,,,105.4,0.1279
1957-02,,,,105.4,0.1279
1957-03,,,,105.4,0.1279
1957-04,,,,105.4,0.1279
1957-05,,,,105.4,0.1279
1957-06,,,,105.4,0.1279
1957-07,,,,105.4,0.1279
1957-08,,,,105.4,0.1279
1957-09,,,,105.4,0.1279
1957-10,,,,105.4,0.1279
1957-11,,,,105.4,0.1279
1957-12,,,,105.4,0.1279
1958-01,,,,102.7,0.1348
1958-02,,,,102.7,0.1348
1958-03,,,,102.7,0.1348
1958-04,,,,102.7,0.1348
1958-05,,,,102.7,0.1348
1958-06,,,,102.7,0.1348
1958-07,,,,102.7,0.1348
1958-08,,,,102.7,0.1348
1958-09,,,,102.7,0.1348
1958-10,,,,102.7,0.1348
1958-11,,,,102.7,0.1348
1958-12,,,,102.7,0.1348
1959-01,,,,101.1,0.1453
1959-02,,,,101.1,0.1453
1959-03,,,,101.1,0.1453
1959-04,,,,101.1,0.1453
1959-05,,,,101.1,0.1453
1959-06,,,,101.1,0.1453
1959-07,,,,101.1,0.1453
1959-08,,,,101.1,0.1453
1959-09,,,,101.1,0.1453
1959-10,,,,101.1,0.1453
1959-11,,,,101.1,0.1453
1959-12,,,,101.1,0.1453
1960-01,,,,101.8,0.156
1960-02,,,,101.8,0.156
1960-03,,,,101.8,0.156
1960-04,,,,101.8,0.156
1960-05,,,,101.8,0.156
1960-06,,,,101.8,0.156
1960-07,,,,101.8,0.156
1960-08,,,,101.8,0.156
1960-09,,,,101.8,0.156
1960-10,,,,101.8,0.156
1960-11,,,,101.8,0.156
1960-12,,,,101.8,0.156
1961-01,,,,100.7,0.1625
1961-02,,,,100.7,0.1625
1961-03,,,,100.7,0.1625
1961-04,,,,100.7,0.1625
1961-05,,,,100.7,0.1625
1961-06,,,,100.7,0.1625
1961-07,,,,100.7,0.1625
1961-08,,,,100.7,0.1625
1961-09,,,,100.7,0.1625
1961-10,,,,100.7,0.1625
1961-11,,,,100.7,0.1625
1961-12,,,,100.7,0.1625
1962-01,,,,102.5,0.168
1962-02,,,,102.5,0.168
1962-03,,,,102.5,0.168
1962-04,,,,102.5,0.168
1962-05,,,,102.5,0.168
1962-06,,,,102.5,0.168
1962-07,,,,102.5,0.168
1962-08,,,,102.5,0.168
1962-09,,,,102.5,0.168
1962-10,,,,102.5,0.168
1962-11,,,,102.5,0.168
1962-12,,,,102.5,0.168
1963-01,,,,100.8,0.1763
1963-02,,,,100.8,0.1763
1963-03,,,,100.8,0.1763
1963-04,,,,100.8,0.1763
1963-05,,,,100.8,0.1763
1963-06,,,,100.8,0.1763
1963-07,,,,100.8,0.1763
1963-08,,,,100.8,0.1763
1963-09,,,,100.8,0.1763
1963-10,,,,100.8,0.1763
1963-11,,,,100.8,0.1763
1963-12,,,,100.8,0.1763
1964-01,,,,101.2,0.1816
1964-02,,,,101.2,0.1816
1964-03,,,,101.2,0.1816
1964-04,,,,101.2,0.1816
1964-05,,,,101.2,0.1816
1964-06,,,,101.2,0.1816
1964-07,,,,101.2,0.1816
1964-08,,,,101.2,0.1816
1964-09,,,,101.2,0.1816
1964-10,,,,101.2,0.1816
1964-11,,,,101.2,0.1816
1964-12,,,,101.2,0.1816
1965-01,,,,100.9,0.1867
1965-02,,,,100.9,0.1867
1965-03,,,,100.9,0.1867
1965-04,,,,100.9,0.1867
1965-05,,,,100.9,0.1867
1965-06,,,,100.9,0.1867
1965-07,,,,100.9,0.1867
1965-08,,,,100.9,0.1867
1965-09,,,,100.9,0.1867
1965-10,,,,100.9,0.1867
1965-11,,,,100.9,0.1867
1965-12,,,,100.9,0.1867
1966-01,,,,101.2,0.1934
1966-02,,,,101.2,0.1934
1966-03,,,,101.2,0.1934
1966-04,,,,101.2,0.1934
1966-05,,,,101.2,0.1934
1966-06,,,,101.2,0.1934
1966-07,,,,101.2,0.1934
1966-08,,,,101.2,0.1934
1966-09,,,,101.2,0.1934
1966-10,,,,101.2,0.1934
