month,adj_close
2008-03,34.89
2008-04,37.67
2008-05,37.99
2008-06,34.96
2008-07,33.85
2008-08,33.29
2008-09,29.21
2008-10,23.83
2008-11,21.74
2008-12,22.93
2009-01,20.32
2009-02,18.35
2009-03,20.04
2009-04,22.6
2009-05,24.97
2009-06,24.59
2009-07,26.91
2009-08,27.71
2009-09,29.05
2009-10,28.27
2009-11,29.8
2009-12,30.35
2010-01,28.75
2010-02,29.37
2010-03,31.23
2010-04,31.16
2010-05,28.24
2010-06,27.23
2010-07,29.77
2010-08,28.5
2010-09,31.29
2010-10,32.47
2010-11,31.76
2010-12,34.23
2011-01,34.6
2011-02,35.67
2011-03,35.37
2011-04,37.07
2011-05,36.35
2011-06,35.71
2011-07,34.89
2011-08,32.32
2011-09,28.95
2011-10,32.23
2011-11,31.86
2011-12,31.56
2012-01,33.28
2012-02,34.93
2012-03,35.32
2012-04,34.92
2012-05,31.68
2012-06,33.28
2012-07,33.56
2012-08,34.49
2012-09,35.42
2012-10,35.24
2012-11,35.8
2012-12,36.84
2013-01,38.23
2013-02,38.19
2013-03,38.89
2013-04,39.99
2013-05,39.84
2013-06,38.8
2013-07,40.58
2013-08,39.65
2013-09,41.84
2013-10,43.49
2013-11,44.17
2013-12,45.08
2014-01,42.99
2014-02,45.23
2014-03,45.49
2014-04,46.03
2014-05,46.95
2014-06,47.81
2014-07,47.12
2014-08,48.33
2014-09,46.73
2014-10,47.29
2014-11,47.94
2014-12,46.81
2015-01,46.2
2015-02,48.74
2015-03,48.03
2015-04,49.4
2015-05,49.4
2015-06,48.13
2015-07,48.53
2015-08,45.22
2015-09,43.67
2015-10,47.01
2015-11,46.76
2015-12,45.78
2016-01,43.35
2016-02,42.81
2016-03,45.97
2016-04,46.59
2016-05,46.75
2016-06,46.72
2016-07,48.48
2016-08,48.65
2016-09,49.11
2016-10,48.17
2016-11,48.67
2016-12,49.62
2017-01,51.06
2017-02,52.35
2017-03,53.05
2017-04,53.91
2017-05,55.1
2017-06,55.53
2017-07,57.05
2017-08,57.28
2017-09,58.36
2017-10,59.61
2017-11,60.81
2017-12,61.7
2018-01,65.21
2018-02,62.3
2018-03,61.36
2018-04,61.61
2018-05,61.9
2018-06,61.54
2018-07,63.43
2018-08,63.87
2018-09,64.26
2018-10,59.48
2018-11,60.42
2018-12,56.07
2019-01,60.58
2019-02,62.07
2019-03,63.05
2019-04,65.21
2019-05,61.25
2019-06,65.22
2019-07,65.27
2019-08,63.83
2019-09,65.26
2019-10,67.05
2019-11,68.61
2019-12,70.97
2020-01,69.95
2020-02,64.71
2020-03,56.04
2020-04,61.54
2020-05,64.68
2020-06,66.58
2020-07,70.15
2020-08,74.38
2020-09,72.18
2020-10,70.57
2020-11,78.87
2020-12,82.57
2021-01,82.31
2021-02,84.2
2021-03,86.6
2021-04,90.28
2021-05,91.61
2021-06,92.76
2021-07,93.61
2021-08,95.64
2021-09,91.6
2021-10,96.54
2021-11,94.31
2021-12,97.98
2022-01,93.52
2022-02,90.66
2022-03,92.42
2022-04,84.96
2022-05,85.34
2022-06,78.43
2022-07,83.97
2022-08,80.3
2022-09,72.76
2022-10,77.38
2022-11,83.83
2022-12,79.96
2023-01,85.97
2023-02,83.11
2023-03,85.88
2023-04,87.23
2023-05,86.31
2023-06,91.31
2023-07,94.59
2023-08,91.84
2023-09,87.91
2023-10,85.67
2023-11,93.29
2023-12,97.78
2024-01,98.05
2024-02,102.47
2024-03,105.81
2024-04,102.05
2024-05,106.72
2024-06,108.9
2024-07,110.57
2024-08,113.33
2024-09,115.82
2024-10,113.4
2024-11,117.97
2024-12,114.84
2025-01,118.44
2025-02,118.09
2025-03,113.75
2025-04,114.34
2025-05,120.85
2025-06,126.66
2025-07,128.0
2025-08,131.42
2025-09,136.15
2025-10,139.27
2025-11,139.33
2025-12,140.58
2026-01,144.56
2026-02,146.43
2026-03,137.48
2026-04,150.56
2026-05,157.52
2026-06,156.97
2026-07,156.43
