issuance_month,first_year_rate_pct,margin_pct
2013-09,,
2013-10,,
2013-11,,
2013-12,,
2014-01,,
2014-02,,
2014-03,,
2014-04,,
2014-05,,
2014-06,,
2014-07,,
2014-08,,
2014-09,,
2014-10,,
2014-11,,
2014-12,,
2015-01,,
2015-02,,
2015-03,,
2015-04,,
2015-05,,
2015-06,,
2015-07,,
2015-08,,
2015-09,,
2015-10,,
2015-11,,
2015-12,,
2016-01,,
2016-02,,
2016-03,,
2016-04,,
2016-05,,
2016-06,,
2016-07,,
2016-08,,
2016-09,,
2016-10,,
2016-11,,
2016-12,,
2017-01,,1.5
2017-02,,1.5
2017-03,,1.5
2017-04,,1.5
2017-05,,1.5
2017-06,,1.5
2017-07,,1.5
2017-08,,1.5
2017-09,,1.5
2017-10,,1.5
2017-11,,1.5
2017-12,,1.5
2018-01,,1.5
2018-02,,1.5
2018-03,,1.5
2018-04,,1.5
2018-05,,1.5
2018-06,,1.5
2018-07,,1.5
2018-08,,1.5
2018-09,,1.5
2018-10,,
2018-11,,
2018-12,,
2019-01,,1.5
2019-02,,1.5
2019-03,,1.5
2019-04,,1.5
2019-05,,1.5
2019-06,,1.5
2019-07,,1.5
2019-08,,
2019-09,,1.5
2019-10,,1.5
2019-11,,1.5
2019-12,,1.5
2020-01,,1.5
2020-02,,1.5
2020-03,,1.5
2020-04,,1.5
2020-05,,1.0
2020-06,,1.0
2020-07,,1.0
2020-08,,1.0
2020-09,,1.0
2020-10,,1.0
2020-11,,1.0
2020-12,,1.0
2021-01,,1.0
2021-02,,1.0
2021-03,,1.0
2021-04,,1.0
2021-05,,1.0
2021-06,,1.0
2021-07,,1.0
2021-08,,1.0
2021-09,,1.0
2021-10,,1.0
2021-11,,1.0
2021-12,,1.0
2022-01,,1.0
2022-02,,1.25
2022-03,,1.25
2022-04,,1.25
2022-05,,1.25
2022-06,,1.25
2022-07,,1.25
2022-08,,1.25
2022-09,,1.25
2022-10,,1.25
2022-11,,1.25
2022-12,,1.25
2023-01,7.25,1.25
2023-02,7.25,1.25
2023-03,7.25,1.25
2023-04,7.25,1.25
2023-05,7.25,1.25
2023-06,7.25,1.25
2023-07,7.25,1.25
2023-08,7.25,1.25
2023-09,7.25,1.25
2023-10,7.25,1.5
2023-11,7.0,1.5
2023-12,7.0,1.5
2024-01,6.9,1.5
2024-02,6.8,1.5
2024-03,6.8,1.5
2024-04,6.8,1.5
2024-05,6.8,1.5
2024-06,6.8,2.0
2024-07,6.8,2.0
2024-08,6.8,2.0
2024-09,6.55,2.0
2024-10,6.55,2.0
2024-11,6.55,2.0
2024-12,6.55,2.0
2025-01,6.55,2.0
2025-02,6.55,2.0
2025-03,6.55,2.0
2025-04,6.55,2.0
2025-05,6.35,2.0
2025-06,6.25,2.0
2025-07,6.25,2.0
2025-08,6.0,2.0
2025-09,6.0,2.0
2025-10,6.0,2.0
2025-11,5.75,2.0
2025-12,5.6,2.0
2026-01,5.6,2.0
2026-02,5.6,2.0
2026-03,5.6,2.0
2026-04,5.35,2.0
2026-05,5.35,2.0
2026-06,5.35,2.0
2026-07,5.35,2.0
2026-08,5.35,2.0
