year,avg_gross_wage_pln
1950,0.0551
1951,0.0599
1952,0.0652
1953,0.092
1954,0.0975
1955,0.1008
1956,0.1118
1957,0.1279
1958,0.1348
1959,0.1453
1960,0.156
1961,0.1625
1962,0.168
1963,0.1763
1964,0.1816
1965,0.1867
1966,0.1934
1967,0.2016
1968,0.2106
1969,0.2174
1970,0.2235
1971,0.2358
1972,0.2509
1973,0.2798
1974,0.3185
1975,0.3913
1976,0.4281
1977,0.4596
1978,0.4887
1979,0.5327
1980,0.604
1981,0.7689
1982,1.1631
1983,1.4475
1984,1.6838
1985,2.0005
1986,2.4095
1987,2.9184
1988,5.309
1989,20.6758
1990,102.9637
1991,177.0
1992,293.5
1993,399.5
1994,532.8
1995,702.62
1996,873.0
1997,1061.93
1998,1239.49
1999,1706.74
2000,1923.81
2001,2061.85
2002,2133.21
2003,2201.47
2004,2289.57
2005,2380.29
2006,2477.23
2007,2691.03
2008,2943.88
2009,3102.96
2010,3224.98
2011,3399.52
2012,3521.67
2013,3650.06
2014,3783.46
2015,3899.78
2016,4047.21
2017,4271.51
2018,4585.03
2019,4918.17
2020,5167.47
2021,5662.53
2022,6346.15
2023,7155.48
2024,8181.72
2025,8903.56
