allocation,horizon_years,n_windows,success_rate,ending_balance_median,ending_balance_min,min_balance_median,n_failures_liquidity_gap,n_failures_capital_exhausted,equity_weight,swr
80_20,10,38,1.0,1.387869717435485,0.4300616576557486,0.8451628022571758,0,0,0.8,0.04
80_20,15,28,1.0,1.6025606446776823,0.3701208325726465,0.7091246004313881,0,0,0.8,0.04
80_20,20,18,1.0,1.728167481127939,0.13139251260551005,0.6681000519332315,0,0,0.8,0.04
80_20,25,8,0.75,0.8265422627073347,0.2828433648207242,0.5287179814630982,0,2,0.8,0.04
60_40,10,38,1.0,1.3671789888916028,0.6509631163232047,0.9358666773307902,0,0,0.6,0.04
60_40,15,28,1.0,1.5037797678131157,0.7051472138689775,0.818866057340536,0,0,0.6,0.04
60_40,20,18,1.0,1.7174200045470362,0.5724701673977322,0.7786572989979059,0,0,0.6,0.04
60_40,25,8,1.0,1.3281101564133946,0.4949318348218862,0.7113123786656923,0,0,0.6,0.04
40_60,10,38,1.0,1.340521691261388,0.9190067839358326,0.9698196930584173,0,0,0.4,0.04
40_60,15,28,1.0,1.4595983774977643,1.050623897949062,0.9357587566787409,0,0,0.4,0.04
40_60,20,18,1.0,1.7385329006204495,0.9955926607004626,0.9082559544161634,0,0,0.4,0.04
40_60,25,8,1.0,1.7176817261833939,1.1665180665862975,0.9290673796193714,0,0,0.4,0.04
