month,portfolio_value,target,ppk,ikze,ike,oki,standard,dividend_tax,rebalancing_tax
2008-04,3511.718453330454,3120000.0,1017.8121769136825,2493.9062764167716,0.0,0.0,0.0,0.0,0.0
2008-05,6247.935036906251,3120000.0,1459.058128873138,4788.876908033113,0.0,0.0,0.0,0.0,0.0
2008-06,8263.387206304438,3120000.0,1748.7931362129498,6514.594070091489,0.0,0.0,0.0,0.0,0.0
2008-07,10494.518848212349,3120000.0,2091.3692002788275,6715.455136281165,1687.6945116523557,0.0,0.0,0.0,0.0
2008-08,14388.726529679796,3120000.0,2756.9364809579274,7269.1266649714225,4362.663383750446,0.0,0.0,0.0,0.0
2008-09,16178.349566681465,3120000.0,3024.218900188096,6852.056701275335,6302.073965218033,0.0,0.0,0.0,0.0
2008-10,19184.117101782114,3120000.0,3518.438698982533,6943.674047635966,8722.004355163615,0.0,0.0,0.0,0.0
2008-11,21045.52603191518,3120000.0,3805.2937810296316,6663.729843727166,10576.502407158381,0.0,0.0,0.0,0.0
2008-12,25199.019071878567,3120000.0,4502.632322978591,7033.853037241404,13662.533711658572,0.0,0.0,0.0,0.0
2009-01,29347.59845121918,3274988.4754692134,5195.2740043247095,9899.862675947796,14252.461770946675,0.0,0.0,0.0,0.0
2009-02,31467.8729189796,3274988.4754692134,5529.938250232314,12043.584585764691,13894.350082982592,0.0,0.0,0.0,0.0
2009-03,36133.67413054813,3274988.4754692134,6720.936652792737,15023.352689743284,14389.384788012108,0.0,0.0,0.0,0.0
2009-04,41117.208893597824,3274988.4754692134,7404.335525768127,16059.988404714251,17652.884963115444,0.0,0.0,0.0,0.0
2009-05,46373.43808224896,3274988.4754692134,8297.959458425352,16910.16214775181,21165.316476071803,0.0,0.0,0.0,0.0
2009-06,48552.80617895088,3274988.4754692134,8641.224497432373,16650.880126715223,23260.701554803283,0.0,0.0,0.0,0.0
2009-07,51907.278988067395,3274988.4754692134,9193.796286451505,16792.194682879668,25921.288018736224,0.0,0.0,0.0,0.0
2009-08,54687.66421703744,3274988.4754692134,9644.518438823006,16747.568431487172,28295.57734672726,0.0,0.0,0.0,0.0
2009-09,60227.74753696814,3274988.4754692134,10580.39788168908,17511.355627063,32135.99402821606,0.0,0.0,0.0,0.0
2009-10,61223.03758367173,3274988.4754692134,10718.38521688269,16970.58604231133,33534.06632447771,0.0,0.0,0.0,0.0
2009-11,64741.00776042115,3274988.4754692134,11298.389844808331,17132.55860642287,36230.33704715587,79.72226203408464,0.0,0.0,0.0
2009-12,70860.7075078106,3274988.4754692134,12330.7383211481,17945.23484334659,37931.790482927405,2652.9438603884996,0.0,0.0,0.0
2010-01,72148.07704528993,3393151.135989463,12521.452541019791,20004.236448390217,37032.350870036185,2590.0371858437275,0.0,0.0,0.0
2010-02,76947.99014313464,3393151.135989463,13321.005898443536,23077.227991832537,37899.09884110225,2650.6574117563127,0.0,0.0,0.0
2010-03,83215.48469309366,3393151.135989463,14784.086965948802,26498.053316616126,39192.24457583707,2741.099834691671,0.0,0.0,0.0
2010-04,88738.66047998646,3393151.135989463,15546.731777462614,27582.574579874596,42820.200973842904,2789.153148806342,0.0,0.0,0.0
2010-05,94892.86801057939,3393151.135989463,16585.795201932004,28517.098753487746,46906.06142758421,2883.9126275754415,0.0,0.0,0.0
2010-06,97359.25835580606,3393151.135989463,16980.568857355254,28349.556393580788,49162.0283652138,2867.1047396562103,0.0,0.0,0.0
2010-07,98603.10454882654,3393151.135989463,17162.860824848307,27841.85108893166,50782.8420515818,2815.5505834647824,0.0,0.0,0.0
2010-08,100739.31396458166,3393151.135989463,17500.68721418936,27594.346172822086,52853.607956888365,2790.672620681859,0.0,0.0,0.0
2010-09,104421.6232768455,3393151.135989463,18106.98465952309,27764.083725646135,55742.95236515947,2807.6025265168064,0.0,0.0,0.0
2010-10,109518.11165200023,3393151.135989463,18957.884510995747,28295.431237710793,59403.556176659986,2861.239726633713,0.0,0.0,0.0
