scenario,allocation,archetype,enabled_accounts,equity_weight,single_path_fire_reached,single_path_years_to_fire,single_path_final_value,single_path_age_at_fire,single_path_cumulative_dividend_tax,single_path_cumulative_rebalancing_tax,rolling_n_windows,rolling_pct_not_reached,years_to_fire_median,years_to_fire_min,years_to_fire_max,portfolio_at_fire_median,portfolio_at_fire_min,portfolio_at_fire_max,age_at_fire_median,age_at_fire_min,age_at_fire_max
A1,80_20,Informatyk B2B,"ike,ikze,oki,ppk",0.8,True,18.75,34608446.59061298,48.75,279640.3359151401,193318.97797928768,57,0.5964912280701754,17.75,14.833333333333334,18.75,6825893.116366722,6010801.73687718,9570568.386520594,47.75,44.833333333333336,48.75
A1,60_40,Informatyk B2B,"ike,ikze,oki,ppk",0.6,True,18.833333333333332,31494634.84881414,48.83333333333333,198964.81794253836,249842.557723173,57,0.6491228070175439,19.125,17.25,20.416666666666668,7630122.072627093,6850747.329132342,10712943.457315043,49.125,47.25,50.41666666666667
A1,40_60,Informatyk B2B,"ike,ikze,oki,ppk",0.4,True,20.5,28496701.033703133,50.5,125864.2855506088,219158.589754932,57,0.7368421052631579,20.583333333333332,19.333333333333332,22.416666666666668,8229985.134943754,7172940.034918452,11643610.98004777,50.58333333333333,49.33333333333333,52.41666666666667
A2,80_20,Informatyk B2B,none,0.8,True,18.75,33554408.770168014,48.75,520926.317079053,378298.9064320667,57,0.6140350877192983,18.125,15.333333333333334,19.0,6979661.443597285,6441413.2224763315,9571660.170400547,48.125,45.333333333333336,49.0
A2,60_40,Informatyk B2B,none,0.6,True,19.666666666666668,30482821.156731054,49.66666666666667,376330.70282679336,506764.85809635464,57,0.6666666666666666,19.666666666666668,17.75,21.166666666666668,8309277.288010502,7063618.253471508,11139476.117499284,49.66666666666667,47.75,51.16666666666667
A2,40_60,Informatyk B2B,none,0.4,True,21.5,27673266.65553046,51.5,241612.52032831567,463036.1426839475,57,0.7543859649122807,21.166666666666664,19.833333333333332,22.916666666666668,9932777.977446865,7620184.737674009,11764673.539667016,51.166666666666664,49.83333333333333,52.91666666666667
B1,80_20,Rodzina 2+2,"ike,ikze,oki,ppk",0.8,False,,10589358.108680386,,0.0,0.0,57,1.0,,,,,,,,,
B1,60_40,Rodzina 2+2,"ike,ikze,oki,ppk",0.6,False,,9631812.564624043,,0.0,0.0,57,1.0,,,,,,,,,
B1,40_60,Rodzina 2+2,"ike,ikze,oki,ppk",0.4,False,,8672695.645169144,,0.0,0.0,57,1.0,,,,,,,,,
B2,80_20,Rodzina 2+2,none,0.8,False,,9183311.873940684,,142569.30783216166,103534.43754982774,57,1.0,,,,,,,,,
B2,60_40,Rodzina 2+2,none,0.6,False,,8342666.842894811,,102995.77129996446,138693.5401105815,57,1.0,,,,,,,,,
B2,40_60,Rodzina 2+2,none,0.4,False,,7573736.137303088,,66125.53187932858,126725.68115560614,57,1.0,,,,,,,,,
